1439352114.604427,0.286000,-0.076000,-0.942000
1439352114.624934,0.292000,-0.081000,-0.945000
1439352114.643977,0.294000,-0.080000,-0.943000
1439352114.664485,0.286000,-0.081000,-0.945000
1439352114.683528,0.289000,-0.077000,-0.943000
1439352114.704036,0.284000,-0.077000,-0.948000
1439352114.723079,0.281000,-0.082000,-0.947000
1439352114.743587,0.278000,-0.075000,-0.954000
1439352114.762630,0.271000,-0.073000,-0.951000
1439352114.783138,0.274000,-0.071000,-0.950000
1439352114.803645,0.277000,-0.074000,-0.956000
1439352114.822688,0.278000,-0.075000,-0.949000
1439352114.843196,0.273000,-0.075000,-0.952000
1439352114.862239,0.277000,-0.079000,-0.951000
1439352114.882747,0.279000,-0.084000,-0.946000
1439352114.901790,0.277000,-0.083000,-0.953000
1439352114.922298,0.279000,-0.082000,-0.943000
1439352114.941341,0.283000,-0.084000,-0.950000
1439352114.961848,0.280000,-0.083000,-0.944000
1439352114.980891,0.282000,-0.082000,-0.949000
1439352115.001399,0.274000,-0.081000,-0.949000
1439352115.020442,0.277000,-0.080000,-0.948000
1439352115.040950,0.278000,-0.076000,-0.949000
1439352115.059993,0.280000,-0.073000,-0.953000
1439352115.080501,0.278000,-0.074000,-0.951000
1439352115.101009,0.278000,-0.073000,-0.950000
1439352115.120052,0.274000,-0.073000,-0.950000
1439352115.140559,0.273000,-0.082000,-0.950000
1439352115.159602,0.280000,-0.077000,-0.951000
1439352115.180110,0.277000,-0.080000,-0.947000
1439352115.199153,0.280000,-0.081000,-0.952000
1439352115.219661,0.281000,-0.082000,-0.949000
1439352115.238704,0.279000,-0.084000,-0.947000
1439352115.259212,0.279000,-0.080000,-0.953000
1439352115.278255,0.278000,-0.077000,-0.950000
1439352115.298763,0.273000,-0.081000,-0.949000
1439352115.317806,0.273000,-0.081000,-0.950000
1439352115.338313,0.278000,-0.077000,-0.947000
1439352115.357356,0.277000,-0.076000,-0.953000
1439352115.377864,0.276000,-0.075000,-0.952000
1439352115.398372,0.273000,-0.075000,-0.949000
1439352115.417415,0.280000,-0.076000,-0.949000
1439352115.437923,0.281000,-0.078000,-0.949000
1439352115.456966,0.281000,-0.080000,-0.944000
1439352115.477473,0.277000,-0.079000,-0.947000
1439352115.497981,0.280000,-0.083000,-0.952000
1439352115.517024,0.281000,-0.084000,-0.950000
1439352115.536067,0.280000,-0.078000,-0.949000
1439352115.556575,0.278000,-0.079000,-0.945000
1439352115.575618,0.276000,-0.083000,-0.951000
1439352115.596126,0.276000,-0.078000,-0.949000
1439352115.616634,0.276000,-0.076000,-0.952000
1439352115.635677,0.280000,-0.076000,-0.950000
1439352115.656184,0.280000,-0.075000,-0.951000
1439352115.675227,0.279000,-0.074000,-0.954000
1439352115.695735,0.280000,-0.077000,-0.949000
1439352115.714778,0.277000,-0.079000,-0.953000
1439352115.735286,0.279000,-0.078000,-0.949000
1439352115.754329,0.280000,-0.079000,-0.955000
1439352115.774837,0.279000,-0.081000,-0.940000
1439352115.793880,0.279000,-0.081000,-0.950000
